id,name,description,sortOrder,programStage,dataElements,programIndicators,renderType_DESKTOP,renderType_MOBILE,sharing
tHVxOumGxdW,Antibiotics,,0,DDLi3OGC5Yh,huoQuMzJwgw qVSSgJGFF4D b8MqWU4ekHD XifsJyPuYfi FKxg1geQ63L Xxfb1GNXkvq miQ7lC4ByMv aMGLdSqblVP s09IPGLg9gK qIJDIzrltAF eOJozPvY3My ibzxt9fBNQc UlbATrOcR61 qPodJpROw1Q KKojgJK2Iqy gnprl7LFye8 wLoogTcqtUr ly90S8UYS9m kdhNnCUYk6P,,LISTING,LISTING,
T3YHImiPJ9X,Enrolment's Admission Information,Information on the patient's admission this enrolment covers.,0,YGowWPumDia,AgBqfnnsUzd rvq4L9wWbwW Lwa9Jp5xSnR,,LISTING,LISTING,
dgnxwEgpAX5,Hospital-Acquired Pneumonia,,0,gS3zQzPpsgV,boPV9RWoanT f22ppOLUE5q piqoBwxf7t8 sTrkGnTPDL2 bIBORtrmPPh,,LISTING,LISTING,
CwWYAFnE6jK,Hospital-Acquired Primary Sepsis/BSI,,0,wDQxhhyAkEU,tj1LewUMIT5 rzfND0l97Fl i4yQcpPDttA NjFq3pakY2I HpyUpoaGumw,,LISTING,LISTING,
B3WJmZOdTJ3,Necrotizing Enterocolitis (NEC),,0,Cp8UiWONR1B,Ct7gBVqwScW t4xpFiZeCHK,,LISTING,LISTING,
iaqYohF3EvA,Surgical Procedure,"Each time a surgical procedure is performed on an enrolled child, you must complete this form and start following up the patient for surgical site infections for 30 days (90 days if an implant was left in place during the procedure).",0,BHWwaviIFvy,AmCKOzIAn8i ey4XJquYYBI ki0ykiLotTO rIXwdgfrfkf VaJLazkIZ5E zPmHnqnPgpf aFchS2IgTuh lgO6BRWuni9 Yu7iGKrtyeL mWLdYcsxiR6 DTZ9HfILgnX BsacMxp5fja vVHhhpB31DW OVCzlltgwNt pojfTuJ4RlC,,LISTING,LISTING,
g4LMsgA5hHK,Surgical Site Infection (SSI),,0,cZhr3Wm2fc8,YHYi79E8xhN LCX6yQP1K3D kMJlTTKr5VN bRwNwkGZDnx SWwmWqVfFX4,,LISTING,LISTING,
rCilCYrCaij,Clinical and Laboratory Criteria,,1,gS3zQzPpsgV,Z2GhKrAdO2c J375l07wpEG cA8oyKJiPE0 s77aiscqcnx Ii1DSs7ZGbT UNYrrkrnjM4 cwtpTIICAQP h8FpJvGQDfJ iriHpzXRO5e,,LISTING,LISTING,
hIePMPYES5Q,End of Surveillance,"Information on cumulative risk factors that can be calculated (aggregated) after the surveillance for this patient has ended. ",1,DDLi3OGC5Yh,wxIOvNRgLIE Xn8q3giOGcB Z3GQcwMosHH ZrBvuqbXY0I mRAdPplmm5a nHIk8qJetwF vlFLj6rwVgf gCZe3wijCy4 U4ys5n9dSRR,,LISTING,LISTING,
UZc6N0GOdhK,Identified Organisms,,1,wDQxhhyAkEU,aeua6ZD9pb7 DaNS1ETTD3Z Cl0jt4EHzvY gvmTVfiIk2g pPsXwlpMj1s TKuYdRqfqC4 tmLmPAMJ2XB o8dpLIbHZPX ObnEVllso6d tAx6dWqnOIx S7Dulo4dt8O k4Yid4UsNLg sOb9CDCoAif Db0I00GuIv0 GzAudzVNO2H iStHC3Ope8B Oy5f6YFFTdR fK8yWzyLp4I TsoCuWLh71j UptqkgrbXy6 T6TynP10m5Q bKcuBeH9kER wlGi1qr9xYX OawTDq2eiv0 bIMRQhQt4ia OBC5BfcUwyg QWaa7sH9jIp,,LISTING,LISTING,
YqlVWuPOBcn,Imaging Findings,"At least one of the following diagnostic imaging findings. Imaging diagnostics can be X-ray, CT, MRI or ultrasound.",1,Cp8UiWONR1B,kqSndqsPCLA nIqZE9xCVJ8 vVI3Cks7WgS aMA52Q2QgNk,,LISTING,LISTING,
ACd7OsOs9Cx,Superficial Incisional SSI,The infection involves only skin and subcutaneous tissue of the incision and first symptoms occur within 30 days after the operation.,1,cZhr3Wm2fc8,P38wa79hn0H vNw0rqjhgW1 BRLJT6BGofr GBZwcgTBsK2 pjakd2qB03P LsIl0YdRagx aglnLwvfXnj bFlYgfbmGBa,,LISTING,LISTING,
x4HWaYGqeB5,Clinical Signs and Symptoms,At least one of the following clinical signs or symptoms (with no other cause).,2,Cp8UiWONR1B,JUwWBsov9Gr XBlDkgqZnr2 G2QJTHPk7W9 Oj69i3AeaPR ijbkQJBXaFZ hoUzjcTAS53,,LISTING,LISTING,
VuAIMPIHrWE,Deep Incisional SSI,"The infection involves deep soft tissues of the incision (for example, fascial and muscle layers) and first symptoms occur within 30 days after the operation or 90 days after the operation when an implant was left in place.",2,cZhr3Wm2fc8,AWj4EtgLBRq j4h7viHO6lb kVNzBLpyrtc Bny6KnXTJZP LZcPsWSgWnO n0YMeniULF8,,LISTING,LISTING,
q3ZZZIcjfz0,Identified Organisms Recovered from the Respiratory Tract,,2,gS3zQzPpsgV,bUNxV2zp4Lu QSJW6kNk6pg nvEHBVmPZpF w1KkLwqzTtO o63deLmVeUI Rm78R5c3pSg EnGuyxsI9P7 D8AJuofgF06 mUqRP4hDub9 ljbFGymMZzt GIQw0w15XbC ZHSjP6lwIKT ydy9VLkNavJ ZE5CrBaKy3f xN8O1GldXk2 sVjCgMgfnKQ PvLENjS8Afi KGjHtWcPkP9 YdP1whGQD3c B1mZglttyWR fJ7RYtpawpg NZqoT6ZGuX2 qlMs9xUMEok Qh6VVUBAaK9,,LISTING,LISTING,
Tf10VHJgyZR,Signs and Symptoms of Generalized Infection:,,2,wDQxhhyAkEU,kjLgZFbq5fZ A639BT2Jccy O3baDjV2eeW iQpOYLxp4eD vQxPyDZzK2K rIgNb8wNw5f ER7WiNywdyP wgpBMLzukh9 mSf2s0OS0gP,,LISTING,LISTING,
in5ueev9PqV,Laboratory Findings,,3,wDQxhhyAkEU,si9TqVvY3ZS nHtkCl6Er79 e39P0lfTptd dogXmeDeHnc oPIcLjRmNgC,,LISTING,LISTING,
UD4BKztJGem,Organ/Space SSI,Infection involves any part of the body deeper than the fascial/muscle layers that is opened or manipulated during the operative procedure and first symptoms occur within 30 days after the operation or 90 days after the operation when an implant was left in place.,3,cZhr3Wm2fc8,fuupuDsZf9w XhcAt9NTFuG J9pWV2Y8fZS,,LISTING,LISTING,
MKfVh7MWUhF,Secondary Bloodstream Infection (BSI)/Sepsis,,3,gS3zQzPpsgV,uvcHUgCtACj ZpwYoMtJea3 ZmlQ283oucZ Le2Q2CCPZAQ MgaxJxTIi6Y hZVH5YCOF47 pO5IgMyNjGA H6l5ZyB8EHo vjSwdgu8l9s D6z0jmhQnm5 hZIGItoWMLG HztFtyHuX7f JOTOTIisCmU QIlkIZDrbwn rmBJQ8KTYO5 K23m7eluWi0 n5wJQGsAUvB VJwXpWNnhfK lJj9LgTZ9Gg XXUaWNIB6fS EEW3ftnfLsb l9AarKAD8qi,,LISTING,LISTING,
NZAqufaJTwL,Surgical or Pathological Findings,"Alternatively one of the following intraoperative findings from a surgeon or findings from a pathologist based on resections or an autopsy apply. Cases with surgical findings of intestinal perforation without evidence of primary necrosis or pneumatosis intestinalis (e.g., a spontaneous intestinal perforation) should not be reported as NEC.",3,Cp8UiWONR1B,GlwA8737vfH JEZhgQZLvqW,,LISTING,LISTING,
lzLFjbrUcbs,Identified Organisms Recovered from the Surgical Site,"Organism(s) identified from the surgical site tissue by a culture or non-culture based microbiologic testing method which is performed for purposes of clinical diagnosis or treatment (for example, not Active Surveillance Culture/Testing (ASC/AST)).
For superficial incisional SSI this requires an aseptically obtained specimen from the superficial incision or subcutaneous tissue, for deep incisional SSI this requires a specimen from the deep soft tissues of the incision and for organ/space SSI this requires fluid or tissue from the organ/space.",4,cZhr3Wm2fc8,Au49L8nPTTv XThKNkDmKsO gHkAMS4qCJV ztZ4Xwz7TJZ tIJkwzSh2Jt WStwnGV1si8 A3E5ORnXeDq TheHLmezGMF IhFtEkm3sE1 QmvUGbDIIIG fpFM0gQg4xc jlRAgmCOuTI v8zVGK2XmtI rp3SK7xGfq9 ka6PN3C7sqr lWflhXvq2ky tvGZ44rx0q1 JIR3JNfjMdz hsF5jqkXCKW ApLGHjC5unQ wexW0dYfxQ7,,LISTING,LISTING,
yuWQcD6kSTz,Secondary Bloodstream Infection (BSI)/Sepsis,"Secondary BSI that is thought to be seeded from the NEC or it's complications (e.g.; peritonitis after perforation). A BSI can be attributed to a NEC if it occurs in a 17-day period that includes the day of infection (=first NEC symptoms), 3 days prior, and 13 days after. Follow-up for secondary BSI is not mandatory.",4,Cp8UiWONR1B,ntOxPtrVkNx wYnfg9LtR1b gGY64LFTCHE u0tZWVB3f3y ijekJ6XPx9C Aawy9BpDWc2 G7uFGI11Bdr TXKgizEyv6g begrGxBPmKh acADmWAqwcP N36tBx8ZMt6 TsgwL95UcPF UQX3D0E9ARY HKVzlJtMrqG U1r2eFwG4GP g1LlkfHwHsY TGvIcZhfY4h mwbe730vMBu YQVGiNDlXSk WLSUlJPMueQ G7JBlB11D5B CUlXZ8ETgJB,,LISTING,LISTING,
yhamIeNXB9y,Secondary bloodstream infection (BSI),"Secondary BSI that is thought to be seeded from the SSI. A BSI can be attributed to a SSI if it occurs in a 17-day period that includes the day of infection (=first SSI symptoms), 3 days prior, and 13 days after. Follow-up for secondary BSI is not mandatory.",5,cZhr3Wm2fc8,HkACxREEfaT C6vqhkpgeWV YN4JnSouiXn y89nfwG2uxQ asaXrcFOqqf zXmDLl7evqF aHdse5vKla6 pXWj4HIcVEx PodwECDyBas snmuo3tXYtO fynZ6sz6Di0 cyCczC5xzaB ADhrdzYPCo2 yq1kfbsLGiO fMcSb5NQ1cH UDhuURrXmmX TeH2t8tpUec V4cZc41FDMf xJhCntfsvOT xOjpebPJiOw wfe6ZTkZ3Co,,LISTING,LISTING,
